Time,Emotion,Confidence Score
18:00:46,CALM,28.70084
18:05:33,HAPPY,49.92872238
18:10:32,CALM,48.38563156
18:15:28,CALM,59.2326889
18:20:53,CALM,62.15206909
18:25:41,CALM,30.64854813
18:30:22,SAD,31.33305931
18:35:33,ANGRY,88.88676453
18:40:14,ANGRY,97.49165344
18:45:34,ANGRY,91.50576782
18:50:34,ANGRY,43.07271957
18:55:55,ANGRY,87.19180298
19:00:20,ANGRY,94.22486115
19:05:32,ANGRY,76.71286011
19:10:23,ANGRY,71.82310486
19:15:43,ANGRY,85.09460449
19:20:42,ANGRY,90.95726013
19:25:46,CALM,54.91994095
19:30:52,ANGRY,68.3825531
19:35:00,ANGRY,83.38820648
19:40:02,ANGRY,71.73767853
19:45:24,ANGRY,98.49961853
19:50:28,ANGRY,72.20989227
19:55:25,ANGRY,79.24744415
20:00:02,CALM,46.8399086
20:05:51,ANGRY,82.19507599
20:10:01,ANGRY,88.2849884
20:15:07,ANGRY,74.98990631
20:20:24,ANGRY,97.04724121
20:25:04,ANGRY,93.07567596
20:30:21,CALM,54.14204407
20:35:55,ANGRY,92.04669189
20:40:04,ANGRY,91.93952942
20:45:30,ANGRY,71.9838562
20:50:53,ANGRY,97.57617188
21:00:06,ANGRY,28.2055378
21:05:23,SAD,91.53266907
21:10:11,ANGRY,61.5659523
21:15:50,ANGRY,84.92684937
21:20:12,ANGRY,93.94128418
21:25:04,SAD,93.40326691
21:30:56,ANGRY,68.84036255
21:35:11,ANGRY,90.94558716
21:40:52,ANGRY,94.73265076
21:45:56,ANGRY,76.04290009
21:50:02,ANGRY,68.68016052
21:55:34,ANGRY,91.00947571
22:00:38,ANGRY,67.91617584
