Time ,Emotion,Confidence Score
18:00:27,CALM,62.26623154
18:05:37,CALM,36.37607193
18:10:47,SAD,42.29982376
18:15:37,CALM,57.06722641
18:20:09,CALM,45.72276306
18:25:21,SAD,59.80281067
18:30:31,CONFUSED,46.99394226
18:35:41,CALM,21.2330761
18:40:51,CONFUSED,34.87289047
18:45:26,SAD,56.41170883
18:50:12,CALM,41.39931107
18:55:17,SAD,69.04931641
19:00:27,SAD,63.89086914
19:05:23,SAD,50.91718292
19:10:57,CALM,52.6751442
19:15:07,SAD,77.03347015
19:20:58,HAPPY,19.95029068
19:25:08,HAPPY,40.40097809
19:30:18,HAPPY,21.08838654
19:35:29,CALM,53.85930634
19:40:39,CALM,43.56119156
19:45:09,CALM,42.44260025
19:50:15,CONFUSED,20.7914238
19:55:09,CALM,30.41069412
20:00,CALM,40.49026489
20:05:13,CONFUSED,22.09791565
20:10:33,CALM,75.94146729
20:15:44,SAD,31.98786926
20:20:54,HAPPY,30.66740417
20:25:04,CONFUSED,24.13734245
20:30:14,SAD,76.11248016
20:35:24,SAD,36.32721329
20:40:02,SAD,50.22105408
20:45:13,CALM,53.85663605
20:50:35,CONFUSED,43.41256714
20:55:48,CALM,34.16716385
21:00:20,CALM,25.92609024
21:05:52,SAD,42.86047363
21:10:30,SAD,34.96203613
21:15:40,CONFUSED,18.04880524
21:20:05,SAD,36.55690384
21:25:42,CONFUSED,10.85996628
21:30:04,SAD,46.00352097
21:35:52,SAD,55.16564941
21:40:29,SAD,69.49180603
21:45:43,ANGRY,77.49237061
21:50:53,CALM,62.68786621
21:55:22,CALM,48.6137085
22:00:34,HAPPY,46.59429169
